delay_risk_prob,risk_tier
0.28166396147465145,Low
0.5825814599489433,Moderate
0.34764020820791486,Low
0.41153192915991416,Moderate
0.5605492264440478,Moderate
0.49661160777425967,Moderate
0.5052794561595276,Moderate
0.3682375563694443,Low
0.43519226742956896,Moderate
0.4654847715159965,Moderate
0.4240326607610043,Moderate
0.5843549672924141,Moderate
0.7249083494504749,High
0.6442859669701315,Moderate
0.3624728936679868,Low
0.2672305556098425,Low
0.6213456556586016,Moderate
0.49642863874063947,Moderate
0.35241710275454025,Low
0.23022004859857528,Low
0.13099847656114794,Low
0.3561171878481462,Low
0.5483930480920242,Moderate
0.5805809717851501,Moderate
0.2927873369288085,Low
0.48462612406348393,Moderate
0.34022024292583974,Low
0.7030378767520461,High
0.25854602107039737,Low
0.42107339027678287,Moderate
0.36506380327642773,Low
0.17544388136017988,Low
0.24428951038213742,Low
0.19426588633763034,Low
0.10506513374905878,Low
0.6016376274021362,Moderate
0.16079305623619006,Low
0.37185785178595954,Low
0.3756880933180563,Low
0.4800024691912275,Moderate
0.5657725050633388,Moderate
0.5866752953142865,Moderate
0.7129478982102715,High
0.1477076934367362,Low
0.3658897388576514,Low
0.13110827596109517,Low
0.581815955928376,Moderate
0.34722189475773346,Low
0.40949036304156017,Moderate
0.2047572935572594,Low
0.20206878366242667,Low
0.4496531782342105,Moderate
0.30646575108520857,Low
0.1743008770398427,Low
0.5364333377138284,Moderate
0.34683841337403953,Low
0.5610337491581072,Moderate
0.1184232169333907,Low
0.6005463998000218,Moderate
0.7384089044673561,High
0.31008310010197226,Low
0.3657942819174039,Low
0.506213706826153,Moderate
0.128380652226154,Low
0.536677624889348,Moderate
0.8107408534689382,High
0.7237863560820816,High
0.3518990458772449,Low
0.5084119229809259,Moderate
0.8137618379652388,High
0.5172298837764362,Moderate
0.21480641686712715,Low
0.40940410617436496,Moderate
0.42629877591225135,Moderate
0.4939834762643764,Moderate
0.3968025853752393,Low
0.4564597210090846,Moderate
0.11809096164737508,Low
0.3260491853185089,Low
0.2257891640773772,Low
0.6421172910135348,Moderate
0.5350251544815537,Moderate
0.39905124821005855,Low
0.4371088552533752,Moderate
0.38488848042711493,Low
0.564765900573469,Moderate
0.7774397835781797,High
0.7446200194798472,High
0.41604307336665963,Moderate
0.18135380618475122,Low
0.6799007851932303,Moderate
0.28247857688405115,Low
0.474371548821106,Moderate
0.2849325956212972,Low
0.36694982336349824,Low
0.3209920237949383,Low
0.3500953833621929,Low
0.5330615596709456,Moderate
0.7811864246890627,High
0.365541387340946,Low
0.3141657468602637,Low
0.6151356931662604,Moderate
0.7165342826994041,High
0.3307713585178021,Low
0.19408028712909975,Low
0.42923192361821627,Moderate
0.31517484738249907,Low
0.2947528079852118,Low
0.4543221368251746,Moderate
0.7113240515988588,High
0.14774905956738826,Low
0.546120809747259,Moderate
0.31445309170383795,Low
0.5555016892542054,Moderate
0.35455301374210113,Low
0.2640202236160695,Low
0.49397194136110345,Moderate
0.5831001426488283,Moderate
0.5992695935437651,Moderate
0.38713369026399913,Low
0.17925667381861357,Low
0.41259339904742687,Moderate
0.22831535663632463,Low
0.15840544110815924,Low
0.21520982461263183,Low
0.40513994879585047,Moderate
0.27203959585925575,Low
0.3422860062698101,Low
0.7215053253735586,High
0.4069135512276138,Moderate
0.5892691008916393,Moderate
0.4039281993694381,Moderate
0.5340433609799918,Moderate
0.26360829695161225,Low
0.44408165832509017,Moderate
0.30927381248165853,Low
0.30575452343065007,Low
0.3254721626537869,Low
0.21308959119952373,Low
0.2421910867943582,Low
0.3148353353522434,Low
0.3047818981633046,Low
0.2765878600472766,Low
0.31677593051846586,Low
0.21414071085906064,Low
0.5925361490247293,Moderate
0.30616008016324353,Low
0.4877638614757902,Moderate
0.20556566300373869,Low
0.26097320125688755,Low
0.45131180164384516,Moderate
0.2662623873176345,Low
0.5191374136208461,Moderate
